# Model read finished. Duration 1.57694482803 
# Model validity check skipped
# WARNING, no previous map found for <MetaAttribute: ccp.nmr.Nmr.DataDimRef.localValuePerPoint> (www.ccpn.ac.uk_Fogh_2008-10-15-12:22:42_00001)
# WARNING, no previous map found for <MetaAttribute: ccp.nmr.Nmr.DataDimRef.localValuePerPoint> (www.ccpn.ac.uk_Fogh_2008-10-15-12:22:42_00001)
# Modified CCPN DNA A prot:H1: no CING, DYANA, CYANA
# Modified CCPN DNA C prot:H3: no CING, DYANA, CYANA
# Modified CCPN DNA G prot:H7,H1
# Modified CCPN RNA A prot:H1
# Modified CCPN RNA C prot:H3
# Modified CCPN RNA G prot:H7,H1
# Modified CCPN protein Tyr deprot:HH: no CING, CYANA, DYANA
# Modified HOH: CING collumn contains H1, H2, O, QH
#
RESIDUE  CING -    CYANA2.1 -    DIANA -    IUPAC PLM  PDB_REMED PLM   CCPN other Plm neutral
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C3'      CCPN C3'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C4       CCPN C4
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C4'      CCPN C4'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C5       CCPN C5
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C5'      CCPN C5'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C6       CCPN C6
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C6'      CCPN C6'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H1'      CCPN H1'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H2'      CCPN H2'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H2''     CCPN H2''
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H2'*    PDB_REMED H2'*     CCPN H2'*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H3'      CCPN H3'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H4'      CCPN H4'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H4*     PDB_REMED H4*      CCPN H4*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H41      CCPN H41
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H42      CCPN H42
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H5       CCPN H5
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H5'      CCPN H5'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H5''     CCPN H5''
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H5'*    PDB_REMED H5'*     CCPN H5'*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H6       CCPN H6
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H6'*    PDB_REMED H6'*     CCPN H6'*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H6'1     CCPN H6'1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H6'2     CCPN H6'2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HO3'     CCPN HO3'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HOP2     CCPN HOP2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HOP3     CCPN HOP3
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED N1       CCPN N1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED N3       CCPN N3
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED N4       CCPN N4
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED O2       CCPN O2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED O3'      CCPN O3'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED O4'      CCPN O4'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED O5'      CCPN O5'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED OP1      CCPN OP1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED OP2      CCPN OP2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED OP3      CCPN OP3
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED P        CCPN P
ENDRES
RESIDUE  CING 6HG  CYANA2.1 6HG  DIANA 6HG  IUPAC 6HG  PDB_REMED 6HG   CCPN other 6hg neutral
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C1'      CCPN C1'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C2       CCPN C2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C2'      CCPN C2'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C3'      CCPN C3'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C4       CCPN C4
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C4'      CCPN C4'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C5       CCPN C5
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C5'      CCPN C5'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C6       CCPN C6
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C6'      CCPN C6'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C8       CCPN C8
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H1       CCPN H1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H1'      CCPN H1'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H2'      CCPN H2'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H2''     CCPN H2''
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H2'*    PDB_REMED H2'*     CCPN H2'*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H2*     PDB_REMED H2*      CCPN H2*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H21      CCPN H21
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H22      CCPN H22
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H3'      CCPN H3'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H4'      CCPN H4'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H5'      CCPN H5'
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H5''     CCPN H5''
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H5'*    PDB_REMED H5'*     CCPN H5'*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H6'*    PDB_REMED H6'*     CCPN H6'*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H6'1     CCPN H6'1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H6'2     CCPN H6'2
